_id,YEAR,REGION,AREA,TYPE_EXPENSE,VALUE,UNIT,SOURCE
1,2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,17403,บาท,สำนักงานสถิติแห่งชาติ
2,2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,15328,บาท,สำนักงานสถิติแห่งชาติ
3,2554,ทั่วราชอาณาจักร,รวม,อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์),5660,บาท,สำนักงานสถิติแห่งชาติ
4,2554,ทั่วราชอาณาจักร,รวม,เครื่องดื่มที่มีแอลกอฮอล์,95,บาท,สำนักงานสถิติแห่งชาติ
5,2554,ทั่วราชอาณาจักร,รวม,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ,85,บาท,สำนักงานสถิติแห่งชาติ
6,2554,ทั่วราชอาณาจักร,รวม,ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ,3553,บาท,สำนักงานสถิติแห่งชาติ
7,2554,ทั่วราชอาณาจักร,รวม,เครื่องนุ่งห่มและรองเท้า,494,บาท,สำนักงานสถิติแห่งชาติ
8,2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายส่วนบุคคล,572,บาท,สำนักงานสถิติแห่งชาติ
9,2554,ทั่วราชอาณาจักร,รวม,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,267,บาท,สำนักงานสถิติแห่งชาติ
10,2554,ทั่วราชอาณาจักร,รวม,การเดินทางและการสื่อสาร,3836,บาท,สำนักงานสถิติแห่งชาติ
11,2554,ทั่วราชอาณาจักร,รวม,การศึกษา,272,บาท,สำนักงานสถิติแห่งชาติ
12,2554,ทั่วราชอาณาจักร,รวม,การบันเทิง การอ่านและกิจกรรมทางศาสนา,293,บาท,สำนักงานสถิติแห่งชาติ
13,2554,ทั่วราชอาณาจักร,รวม,การจัดงานพิธีในโอกาสพิเศษ,201,บาท,สำนักงานสถิติแห่งชาติ
14,2554,ทั่วราชอาณาจักร,รวม,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2075,บาท,สำนักงานสถิติแห่งชาติ
15,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,22256,บาท,สำนักงานสถิติแห่งชาติ
16,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,19340,บาท,สำนักงานสถิติแห่งชาติ
17,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์),6117,บาท,สำนักงานสถิติแห่งชาติ
18,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,107,บาท,สำนักงานสถิติแห่งชาติ
19,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ,92,บาท,สำนักงานสถิติแห่งชาติ
20,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ,5085,บาท,สำนักงานสถิติแห่งชาติ
21,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,659,บาท,สำนักงานสถิติแห่งชาติ
22,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,794,บาท,สำนักงานสถิติแห่งชาติ
23,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,390,บาท,สำนักงานสถิติแห่งชาติ
24,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การเดินทางและการสื่อสาร,5090,บาท,สำนักงานสถิติแห่งชาติ
25,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การศึกษา,468,บาท,สำนักงานสถิติแห่งชาติ
26,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การบันเทิง การอ่านและกิจกรรมทางศาสนา,410,บาท,สำนักงานสถิติแห่งชาติ
27,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,130,บาท,สำนักงานสถิติแห่งชาติ
28,2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2916,บาท,สำนักงานสถิติแห่งชาติ
29,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,14650,บาท,สำนักงานสถิติแห่งชาติ
30,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,13052,บาท,สำนักงานสถิติแห่งชาติ
31,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์),5401,บาท,สำนักงานสถิติแห่งชาติ
32,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,88,บาท,สำนักงานสถิติแห่งชาติ
33,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ,82,บาท,สำนักงานสถิติแห่งชาติ
34,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ,2685,บาท,สำนักงานสถิติแห่งชาติ
35,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,400,บาท,สำนักงานสถิติแห่งชาติ
36,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,446,บาท,สำนักงานสถิติแห่งชาติ
37,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,197,บาท,สำนักงานสถิติแห่งชาติ
38,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การเดินทางและการสื่อสาร,3125,บาท,สำนักงานสถิติแห่งชาติ
39,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การศึกษา,161,บาท,สำนักงานสถิติแห่งชาติ
40,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การบันเทิง การอ่านและกิจกรรมทางศาสนา,227,บาท,สำนักงานสถิติแห่งชาติ
41,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,241,บาท,สำนักงานสถิติแห่งชาติ
42,2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,1598,บาท,สำนักงานสถิติแห่งชาติ
43,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,27566,บาท,สำนักงานสถิติแห่งชาติ
44,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,24063,บาท,สำนักงานสถิติแห่งชาติ
45,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์),6376,บาท,สำนักงานสถิติแห่งชาติ
46,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,เครื่องดื่มที่มีแอลกอฮอล์,113,บาท,สำนักงานสถิติแห่งชาติ
47,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ,97,บาท,สำนักงานสถิติแห่งชาติ
48,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ,7241,บาท,สำนักงานสถิติแห่งชาติ
49,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,เครื่องนุ่งห่มและรองเท้า,781,บาท,สำนักงานสถิติแห่งชาติ
50,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,ค่าใช้จ่ายส่วนบุคคล,971,บาท,สำนักงานสถิติแห่งชาติ
51,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,583,บาท,สำนักงานสถิติแห่งชาติ
52,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,การเดินทางและการสื่อสาร,6608,บาท,สำนักงานสถิติแห่งชาติ
53,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,การศึกษา,731,บาท,สำนักงานสถิติแห่งชาติ
54,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,การบันเทิง การอ่านและกิจกรรมทางศาสนา,485,บาท,สำนักงานสถิติแห่งชาติ
55,2554,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,การจัดงานพิธีในโอกาสพิเศษ,79,บาท,สำนักงานสถิติแห่งชาติ
